date ,SP_500
2007/09,1526.75
2007/10,1549.380005
2007/11,1481.140015
2007/12,1468.359985
2008/01,1378.550049
2008/02,1330.630005
2008/03,1322.699951
2008/04,1385.589966
2008/05,1400.380005
2008/06,1280
2008/07,1267.380005
2008/08,1282.829956
2008/09,1166.359985
2008/10,968.75
2008/11,896.23999
2008/12,903.25
2009/01,825.880005
2009/02,735.090027
2009/03,797.869995
2009/04,872.809998
2009/05,919.140015
2009/06,919.320007
2009/07,987.47998
2009/08,1020.619995
2009/09,1057.079956
2009/10,1036.189941
2009/11,1095.630005
2009/12,1115.099976
2010/01,1073.869995
2010/02,1104.48999
2010/03,1169.430054
2010/04,1186.689941
2010/05,1089.410034
2010/06,1030.709961
2010/07,1101.599976
2010/08,1049.329956
2010/09,1141.199951
2010/10,1183.26001
2010/11,1180.550049
2010/12,1257.640015
2011/01,1286.119995
2011/02,1327.219971
2011/03,1325.829956
2011/04,1363.609985
2011/05,1345.199951
2011/06,1320.640015
2011/07,1292.280029
2011/08,1218.890015
2011/09,1131.420044
2011/10,1253.300049
2011/11,1246.959961
2011/12,1257.599976
2012/01,1312.410034
2012/02,1365.680054
2012/03,1408.469971
2012/04,1397.910034
2012/05,1310.329956
2012/06,1362.160034
2012/07,1379.319946
2012/08,1406.579956
2012/09,1440.670044
2012/10,1412.160034
2012/11,1416.180054
2012/12,1426.189941
2013/01,1498.109985
2013/02,1514.680054
2013/03,1569.189941
2013/04,1597.569946
2013/05,1630.73999
2013/06,1606.280029
2013/07,1685.72998
2013/08,1632.969971
2013/09,1681.550049
2013/10,1756.540039
2013/11,1805.810059
2013/12,1848.359985
2014/01,1782.589966
2014/02,1859.449951
2014/03,1872.339966
2014/04,1883.95
2014/05,1923.57
2014/06,1960.23
2014/07,1930.67
2014/08,2003.37
2014/09,1972.29
2014/10,2018.05
2014/11,2067.56
2014/12,2058.9
2015/01,1994.99
